Kraj;Sprzedawca;Data zamowienia;idZamowienia;Utarg
Niemcy;Davolio;2003-10-08;10316;2835
Polska;Sowiński;2003-10-10;10317;288
Niemcy;Callahan;2003-10-04;10318;240,4
Polska;King;2003-10-11;10319;1191,2
Polska;Kowalski;2003-10-18;10320;516
Niemcy;Leverling;2003-10-11;10321;144
Polska;King;2003-10-23;10322;112
Niemcy;Peacock;2003-10-14;10323;164,4
Polska;Dudek;2003-10-10;10324;5275,71
Niemcy;Davolio;2003-10-14;10325;1497
Niemcy;Peacock;2003-10-14;10326;982
Niemcy;Fuller;2003-10-14;10327;1810
Niemcy;Peacock;2003-10-17;10328;1168
Niemcy;Peacock;2003-10-23;10329;4578,43
Niemcy;Leverling;2003-10-28;10330;1649
Polska;Dudek;2003-10-21;10331;88,5
Niemcy;Leverling;2003-10-21;10332;1786,88
Polska;Kowalski;2003-10-25;10333;877,2
Niemcy;Callahan;2003-10-28;10334;144,8
Polska;King;2003-10-24;10335;2036,16
Polska;King;2003-10-25;10336;285,12
Niemcy;Peacock;2003-10-29;10337;2467
Niemcy;Peacock;2003-10-29;10338;934,5
Niemcy;Fuller;2003-11-04;10339;3354
Niemcy;Davolio;2003-11-08;10340;2436,18
Polska;King;2003-11-05;10341;352,6
Niemcy;Peacock;2003-11-04;10342;1840,64
Niemcy;Peacock;2003-11-06;10343;1584
Niemcy;Peacock;2003-11-05;10344;2296
Niemcy;Fuller;2003-11-11;10345;2924,8
Niemcy;Leverling;2003-11-08;10346;1618,88
Niemcy;Peacock;2003-11-08;10347;814,42
Niemcy;Peacock;2003-11-15;10348;363,6
Polska;King;2003-11-15;10349;141,6
Polska;Sowiński;2003-12-03;10350;642,06
Niemcy;Davolio;2003-11-20;10351;5398,72
Niemcy;Leverling;2003-11-18;10352;136,3
Polska;King;2003-11-25;10353;8593,28
Niemcy;Callahan;2003-11-20;10354;568,8
Polska;Sowiński;2003-11-20;10355;480
Polska;Sowiński;2003-11-27;10356;1106,4
Niemcy;Davolio;2003-12-02;10357;1167,68
Polska;Kowalski;2003-11-27;10358;429,4
Polska;Kowalski;2003-11-26;10359;3471,68
Niemcy;Peacock;2003-12-02;10360;7390,2
Niemcy;Davolio;2003-12-03;10361;2046,24
Niemcy;Leverling;2003-11-28;10362;1549,6
Niemcy;Peacock;2003-12-04;10363;447,2
Niemcy;Davolio;2003-12-04;10364;950
Niemcy;Leverling;2003-12-02;10365;403,2
Niemcy;Callahan;2003-12-30;10366;136
Polska;King;2003-12-02;10367;834,2
Niemcy;Fuller;2003-12-02;10368;1689,78
Niemcy;Callahan;2003-12-09;10369;2390,4
Polska;Sowiński;2003-12-27;10370;1117,6
Niemcy;Davolio;2003-12-24;10371;72,96
Polska;Kowalski;2003-12-09;10372;9210,9
Niemcy;Peacock;2003-12-11;10373;1366,4
Niemcy;Davolio;2003-12-09;10374;459
Niemcy;Leverling;2003-12-09;10375;338
Niemcy;Davolio;2003-12-13;10376;399
Niemcy;Davolio;2003-12-13;10377;863,6
Polska;Kowalski;2003-12-19;10378;103,2
Niemcy;Fuller;2003-12-13;10379;863,28
Niemcy;Callahan;2004-01-16;10380;1313,82
Niemcy;Leverling;2003-12-13;10381;112
Niemcy;Peacock;2003-12-16;10382;2900
Niemcy;Callahan;2003-12-18;10383;899
Niemcy;Leverling;2003-12-20;10384;2222,4
Niemcy;Davolio;2003-12-23;10385;691,2
Polska;Dudek;2003-12-25;10386;166
Niemcy;Davolio;2003-12-20;10387;1058,4
Niemcy;Fuller;2003-12-20;10388;1228,8
Niemcy;Peacock;2003-12-24;10389;1832,8
Polska;Sowiński;2003-12-26;10390;2090,88
Niemcy;Leverling;2003-12-31;10391;86,4
Niemcy;Fuller;2004-01-01;10392;1440
Niemcy;Davolio;2004-01-03;10393;2556,95
Niemcy;Davolio;2004-01-03;10394;442
Polska;Sowiński;2004-01-03;10395;2122,92
Niemcy;Davolio;2004-01-06;10396;1903,8
Polska;Kowalski;2004-01-02;10397;716,72
Niemcy;Fuller;2004-01-09;10398;2505,6
Niemcy;Callahan;2004-01-08;10399;1765,6
Niemcy;Davolio;2004-01-16;10400;3063
Niemcy;Davolio;2004-01-10;10401;3868,6
Niemcy;Callahan;2004-01-10;10402;2713,5
Niemcy;Peacock;2004-01-09;10403;855,01
Niemcy;Fuller;2004-01-08;10404;1591,25
Niemcy;Davolio;2004-01-22;10405;400
Polska;King;2004-01-13;10406;1830,78
Niemcy;Fuller;2004-01-30;10407;1194
Niemcy;Callahan;2004-01-14;10408;1622,4
Niemcy;Leverling;2004-01-14;10409;319,2
Niemcy;Leverling;2004-01-15;10410;802
Polska;Dudek;2004-01-21;10411;966,8
Niemcy;Callahan;2004-01-15;10412;334,8
Niemcy;Leverling;2004-01-16;10413;2123,2
Niemcy;Fuller;2004-01-17;10414;224,83
Niemcy;Leverling;2004-01-24;10415;102,4
Niemcy;Callahan;2004-01-27;10416;720
Niemcy;Peacock;2004-01-28;10417;11188,4
Niemcy;Peacock;2004-01-24;10418;1814,8
Niemcy;Peacock;2004-01-30;10419;2097,6
Niemcy;Leverling;2004-01-27;10420;1707,84
Niemcy;Callahan;2004-01-27;10421;1194,27
Niemcy;Fuller;2004-01-31;10422;49,8
Polska;Sowiński;2004-02-24;10423;1020
Polska;King;2004-01-27;10424;9194,56
Polska;Sowiński;2004-02-14;10425;360
Niemcy;Peacock;2004-02-06;10426;338,2
Niemcy;Peacock;2004-03-03;10427;651
Polska;King;2004-02-04;10428;192
Niemcy;Leverling;2004-02-07;10429;1441,37
Niemcy;Peacock;2004-02-03;10430;4899,2
Niemcy;Peacock;2004-02-07;10431;1892,25
Niemcy;Leverling;2004-02-07;10432;485
Niemcy;Leverling;2004-03-04;10433;851,2
Niemcy;Leverling;2004-02-13;10434;321,12
Niemcy;Callahan;2004-02-07;10435;631,6
Niemcy;Leverling;2004-02-11;10436;1994,52
Niemcy;Callahan;2004-02-12;10437;393
Niemcy;Leverling;2004-02-14;10438;454
Polska;Sowiński;2004-02-10;10439;1078
Niemcy;Peacock;2004-02-28;10440;4924,13
Niemcy;Leverling;2004-03-14;10441;1755
Niemcy;Leverling;2004-02-18;10442;1792
Niemcy;Callahan;2004-02-14;10443;517,44
Niemcy;Leverling;2004-02-21;10444;1031,7
Niemcy;Leverling;2004-02-20;10445;174,9
Polska;Sowiński;2004-02-19;10446;246,24
Niemcy;Peacock;2004-03-07;10447;914,4
Niemcy;Peacock;2004-02-24;10448;443,4
Niemcy;Leverling;2004-02-27;10449;1838,2
Niemcy;Callahan;2004-03-11;10450;425,12
Niemcy;Peacock;2004-03-12;10451;3849,66
Niemcy;Callahan;2004-02-26;10452;2018,5
Niemcy;Davolio;2004-02-26;10453;407,7
Niemcy;Peacock;2004-02-25;10454;331,2
Niemcy;Callahan;2004-03-03;10455;2684
Niemcy;Callahan;2004-02-28;10456;557,6
Niemcy;Fuller;2004-03-03;10457;1584
Polska;King;2004-03-04;10458;3891
Niemcy;Peacock;2004-02-28;10459;1659,2
Niemcy;Callahan;2004-03-03;10460;176,1
Niemcy;Davolio;2004-03-05;10461;1538,7
Niemcy;Fuller;2004-03-18;10462;156
Polska;Kowalski;2004-03-06;10463;713,3
Niemcy;Peacock;2004-03-14;10464;1609,28
Niemcy;Davolio;2004-03-14;10465;2518
Niemcy;Peacock;2004-03-13;10466;216
Niemcy;Callahan;2004-03-11;10467;235,2
Niemcy;Leverling;2004-03-12;10468;717,6
Niemcy;Davolio;2004-03-14;10469;956,67
Niemcy;Peacock;2004-03-14;10470;1820,8
Niemcy;Fuller;2004-03-18;10471;1328
Niemcy;Callahan;2004-03-19;10472;1036,8
Niemcy;Davolio;2004-03-21;10473;230,4
Polska;Kowalski;2004-03-21;10474;1249,1
Polska;Dudek;2004-04-04;10475;1505,18
Niemcy;Callahan;2004-03-24;10476;180,48
Polska;Kowalski;2004-03-25;10477;558
Niemcy;Fuller;2004-03-26;10478;471,2
Niemcy;Leverling;2004-03-21;10479;10495,6
Polska;Sowiński;2004-03-24;10480;756
Niemcy;Callahan;2004-03-25;10481;1472
Niemcy;Davolio;2004-04-10;10482;147
Polska;King;2004-04-25;10483;668,8
Niemcy;Leverling;2004-04-01;10484;386,2
Niemcy;Peacock;2004-03-31;10485;1584
Niemcy;Davolio;2004-04-02;10486;1272
Niemcy;Fuller;2004-03-28;10487;889,7
Niemcy;Callahan;2004-04-02;10488;1512
Polska;Sowiński;2004-04-09;10489;439,2
Polska;King;2004-04-03;10490;3163,2
Niemcy;Callahan;2004-04-08;10491;259,5
Niemcy;Leverling;2004-04-11;10492;851,2
Niemcy;Peacock;2004-04-10;10493;608,4
Niemcy;Peacock;2004-04-09;10494;912
Niemcy;Leverling;2004-04-11;10495;278
Polska;King;2004-04-07;10496;190
Polska;King;2004-04-07;10497;1380,6
Niemcy;Callahan;2004-04-11;10498;575
Niemcy;Peacock;2004-04-16;10499;1412
Polska;Sowiński;2004-04-17;10500;523,26
Polska;Dudek;2004-04-16;10501;149
Niemcy;Fuller;2004-04-29;10502;816,3
Polska;Sowiński;2004-04-16;10503;2048,5
Niemcy;Peacock;2004-04-18;10504;1388,5
Niemcy;Leverling;2004-04-21;10505;147,9
Polska;Dudek;2004-05-02;10506;415,8
Polska;King;2004-04-22;10507;749,06
Niemcy;Davolio;2004-05-13;10508;240
Niemcy;Peacock;2004-04-29;10509;136,8
Polska;Sowiński;2004-04-28;10510;4707,54
Niemcy;Peacock;2004-04-21;10511;2550
Polska;King;2004-04-24;10512;525,3
Polska;King;2004-04-28;10513;1942
Niemcy;Leverling;2004-05-16;10514;8623,45
Niemcy;Fuller;2004-05-23;10515;9921,3
Niemcy;Fuller;2004-05-01;10516;2381,05
Niemcy;Leverling;2004-04-29;10517;352
Niemcy;Peacock;2004-05-05;10518;4150,05
Polska;Sowiński;2004-05-01;10519;2314,2
Polska;King;2004-05-01;10520;200
Niemcy;Callahan;2004-05-02;10521;225,5
Niemcy;Peacock;2004-05-06;10522;2318,24
Polska;King;2004-05-30;10523;2444,31
Niemcy;Davolio;2004-05-07;10524;3192,65
Niemcy;Davolio;2004-05-23;10525;818,4
Niemcy;Peacock;2004-05-15;10526;1151,4
Polska;King;2004-05-07;10527;1503
Polska;Sowiński;2004-05-09;10528;392,2
Polska;Kowalski;2004-05-09;10529;946
Niemcy;Leverling;2004-05-12;10530;4180
Polska;King;2004-05-19;10531;110
Polska;King;2004-05-12;10532;796,35
Niemcy;Callahan;2004-05-22;10533;2222,2
Niemcy;Callahan;2004-05-14;10534;465,7
Niemcy;Peacock;2004-05-21;10535;1940,85
Niemcy;Leverling;2004-06-06;10536;1645
Niemcy;Davolio;2004-05-19;10537;1823,8
Polska;Dudek;2004-05-16;10538;139,8
Polska;Sowiński;2004-05-23;10539;355,5
Niemcy;Leverling;2004-06-13;10540;10191,7
Niemcy;Fuller;2004-05-29;10541;1946,52
Niemcy;Davolio;2004-05-26;10542;469,11
Niemcy;Callahan;2004-05-23;10543;1504,5
Niemcy;Peacock;2004-05-30;10544;417,2
Niemcy;Callahan;2004-06-26;10545;210
Niemcy;Davolio;2004-05-27;10546;2812
Niemcy;Leverling;2004-06-02;10547;1792,8
Niemcy;Leverling;2004-06-02;10548;240,1
Polska;Kowalski;2004-05-30;10549;3554,27
Polska;King;2004-06-06;10550;683,3
Niemcy;Peacock;2004-06-06;10551;1677,3
Niemcy;Fuller;2004-06-05;10552;880,5
Niemcy;Fuller;2004-06-03;10553;1546,3
Niemcy;Peacock;2004-06-05;10554;1728,52
Polska;Sowiński;2004-06-04;10555;2944,4
Niemcy;Fuller;2004-06-13;10556;835,2
Polska;Dudek;2004-06-06;10557;1152,5
Niemcy;Davolio;2004-06-10;10558;2142,9
Polska;Sowiński;2004-06-13;10559;520,41
Niemcy;Callahan;2004-06-09;10560;1072,42
Niemcy;Fuller;2004-06-09;10561;2844,5
Niemcy;Davolio;2004-06-12;10562;488,7
Niemcy;Fuller;2004-06-24;10563;965
Niemcy;Peacock;2004-06-16;10564;1234,05
Niemcy;Callahan;2004-06-18;10565;639,9
Polska;Dudek;2004-06-18;10566;1761
Niemcy;Davolio;2004-06-17;10567;2519
Niemcy;Leverling;2004-07-09;10568;155
Polska;Kowalski;2004-07-11;10569;890
Niemcy;Leverling;2004-06-19;10570;2465,25
Niemcy;Callahan;2004-07-04;10571;550,59
Niemcy;Leverling;2004-06-25;10572;1501,08
Polska;King;2004-06-20;10573;2082
Niemcy;Peacock;2004-06-30;10574;764,3
Polska;Kowalski;2004-06-30;10575;2147,4
Niemcy;Leverling;2004-06-30;10576;838,45
Polska;Dudek;2004-06-30;10577;569
Niemcy;Peacock;2004-07-25;10578;477
Niemcy;Davolio;2004-07-04;10579;317,75
Niemcy;Peacock;2004-07-01;10580;1013,74
Niemcy;Leverling;2004-07-02;10581;310
Niemcy;Leverling;2004-07-14;10582;330
Niemcy;Fuller;2004-07-04;10583;2237,5
Niemcy;Peacock;2004-07-04;10584;593,75
Polska;King;2004-07-10;10585;142,5
Polska;Dudek;2004-07-09;10586;23,8
Niemcy;Davolio;2004-07-09;10587;807,38
Niemcy;Fuller;2004-07-10;10588;3120
Niemcy;Callahan;2004-07-14;10589;72
Niemcy;Peacock;2004-07-14;10590;1101
Niemcy;Davolio;2004-07-16;10591;812,5
Niemcy;Leverling;2004-07-16;10592;516,46
Polska;King;2004-08-13;10593;1994,4
Niemcy;Leverling;2004-07-16;10594;565,5
Niemcy;Fuller;2004-07-14;10595;4725
Niemcy;Callahan;2004-08-12;10596;1180,88
Polska;King;2004-07-18;10597;718,08
Niemcy;Davolio;2004-07-18;10598;2388,5
Polska;Sowiński;2004-07-21;10599;493
Niemcy;Peacock;2004-07-21;10600;479,8
Polska;King;2004-07-22;10601;2285
Niemcy;Callahan;2004-07-22;10602;48,75
Niemcy;Callahan;2004-08-08;10603;1483
Niemcy;Davolio;2004-07-29;10604;230,85
Niemcy;Davolio;2004-07-29;10605;4109,69
Niemcy;Peacock;2004-07-31;10606;1130,4
Polska;Kowalski;2004-07-25;10607;6475,4
Niemcy;Peacock;2004-08-01;10608;1064
Polska;King;2004-07-30;10609;424
Niemcy;Callahan;2004-08-06;10610;299,25
Polska;Sowiński;2004-08-01;10611;808
Niemcy;Davolio;2004-08-01;10612;6375
Niemcy;Peacock;2004-08-01;10613;353,2
Niemcy;Callahan;2004-08-01;10614;464
Niemcy;Fuller;2004-08-06;10615;120
Niemcy;Davolio;2004-08-05;10616;4806,99
Niemcy;Peacock;2004-08-04;10617;1402,5
Niemcy;Davolio;2004-08-08;10618;2697,5
Niemcy;Leverling;2004-08-07;10619;1260
Niemcy;Fuller;2004-08-14;10620;57,5
Niemcy;Peacock;2004-08-11;10621;758,5
Niemcy;Peacock;2004-08-11;10622;560
Niemcy;Callahan;2004-08-12;10623;1336,95
Niemcy;Peacock;2004-08-19;10624;1393,24
Niemcy;Leverling;2004-08-14;10625;479,75
Niemcy;Davolio;2004-08-20;10626;1503,6
Niemcy;Callahan;2004-08-21;10627;1185,75
Niemcy;Peacock;2004-08-20;10628;450
Niemcy;Peacock;2004-08-20;10629;2775,05
Niemcy;Davolio;2004-08-19;10630;903,6
Niemcy;Callahan;2004-08-15;10631;55,8
Niemcy;Callahan;2004-08-19;10632;589
Polska;King;2004-08-18;10633;5510,59
Niemcy;Peacock;2004-08-21;10634;4985,5
Niemcy;Callahan;2004-08-21;10635;1326,22
Niemcy;Peacock;2004-08-26;10636;629,5
Polska;Sowiński;2004-08-26;10637;2761,94
Niemcy;Leverling;2004-09-01;10638;2720,05
Polska;King;2004-08-27;10639;500
Niemcy;Peacock;2004-08-28;10640;708,75
Niemcy;Peacock;2004-08-26;10641;2054
Polska;King;2004-09-05;10642;696
Polska;Sowiński;2004-09-02;10643;814,5
Niemcy;Leverling;2004-09-01;10644;1371,8
Niemcy;Peacock;2004-09-02;10645;1535
Polska;Dudek;2004-09-03;10646;1446
Niemcy;Peacock;2004-09-03;10647;636
Polska;Kowalski;2004-09-09;10648;372,37
Polska;Kowalski;2004-08-29;10649;1434
Polska;Kowalski;2004-09-03;10650;1779,2
Niemcy;Callahan;2004-09-11;10651;397,8
Niemcy;Peacock;2004-09-08;10652;318,84
Niemcy;Davolio;2004-09-19;10653;1083,15
Polska;Kowalski;2004-09-11;10654;601,83
Niemcy;Davolio;2004-09-11;10655;154,4
Polska;Sowiński;2004-09-10;10656;604,21
Niemcy;Fuller;2004-09-15;10657;4371,6
Niemcy;Peacock;2004-09-08;10658;4464,6
Polska;King;2004-09-10;10659;1227,02
Niemcy;Callahan;2004-10-15;10660;1701
Polska;King;2004-09-15;10661;562,6
Niemcy;Leverling;2004-09-18;10662;125
Niemcy;Fuller;2004-10-03;10663;1930,4
Niemcy;Davolio;2004-09-19;10664;1288,39
Niemcy;Davolio;2004-09-17;10665;1295
Polska;King;2004-09-22;10666;4666,94
Polska;King;2004-09-19;10667;1536,8
Niemcy;Davolio;2004-09-23;10668;625,27
Niemcy;Fuller;2004-09-22;10669;570
Niemcy;Peacock;2004-09-18;10670;2301,75
Niemcy;Davolio;2004-09-24;10671;920,1
Polska;Dudek;2004-09-26;10672;3815,25
Niemcy;Fuller;2004-09-19;10673;412,35
Niemcy;Peacock;2004-09-30;10674;45
Polska;Kowalski;2004-09-23;10675;1423
Niemcy;Fuller;2004-09-29;10676;534,85
Niemcy;Davolio;2004-09-26;10677;813,36
Polska;King;2004-10-16;10678;5256,5
Niemcy;Callahan;2004-09-30;10679;660
Niemcy;Davolio;2004-09-26;10680;1261,88
Niemcy;Leverling;2004-09-30;10681;1287,4
Niemcy;Leverling;2004-10-01;10682;375,5
Niemcy;Fuller;2004-10-01;10683;63
Niemcy;Leverling;2004-09-30;10684;1768
Niemcy;Peacock;2004-10-03;10685;801,1
Niemcy;Fuller;2004-10-08;10686;1404,45
Polska;Dudek;2004-10-30;10687;4960,9
Niemcy;Peacock;2004-10-07;10688;3160,6
Niemcy;Davolio;2004-10-07;10689;472,5
Niemcy;Davolio;2004-10-03;10690;862,5
Niemcy;Fuller;2004-10-22;10691;10164,8
Niemcy;Peacock;2004-10-13;10692;878
Niemcy;Leverling;2004-10-10;10693;2071,2
Niemcy;Callahan;2004-10-09;10694;4825
Polska;King;2004-10-14;10695;642
Niemcy;Callahan;2004-10-14;10696;996
Niemcy;Leverling;2004-10-14;10697;805,43
Niemcy;Peacock;2004-10-17;10698;3436,45
Niemcy;Leverling;2004-10-13;10699;114
Niemcy;Leverling;2004-10-16;10700;1638,4
Polska;Sowiński;2004-10-15;10701;2864,5
Niemcy;Peacock;2004-10-21;10702;330
Polska;Sowiński;2004-10-20;10703;2545
Polska;Sowiński;2004-11-07;10704;595,5
Polska;Dudek;2004-11-18;10705;378
Niemcy;Callahan;2004-10-21;10706;1893
Niemcy;Peacock;2004-10-23;10707;1641
Polska;Sowiński;2004-11-05;10708;180,4
Niemcy;Davolio;2004-11-20;10709;3424
Niemcy;Davolio;2004-10-23;10710;93,5
Polska;Kowalski;2004-10-29;10711;4451,7
Niemcy;Leverling;2004-10-31;10712;1233,48
Niemcy;Davolio;2004-10-24;10713;2827,9
Polska;Kowalski;2004-10-27;10714;2205,75
Niemcy;Leverling;2004-10-29;10715;1296
Niemcy;Peacock;2004-10-27;10716;706
Niemcy;Davolio;2004-10-29;10717;1270,75
Niemcy;Davolio;2004-10-29;10718;3463
Niemcy;Callahan;2004-11-05;10719;844,25
Niemcy;Callahan;2004-11-05;10720;550
Polska;Kowalski;2004-10-31;10721;923,87
Niemcy;Callahan;2004-11-04;10722;1570
Niemcy;Leverling;2004-11-25;10723;468,45
Niemcy;Callahan;2004-11-05;10724;638,5
Niemcy;Peacock;2004-11-05;10725;287,8
Niemcy;Peacock;2004-12-05;10726;655
Niemcy;Fuller;2004-12-05;10727;1624,5
Niemcy;Peacock;2004-11-11;10728;1296,75
Niemcy;Callahan;2004-11-14;10729;1850
Polska;Kowalski;2004-11-14;10730;484,25
Polska;King;2004-11-14;10731;1890,5
Niemcy;Leverling;2004-11-07;10732;360
Niemcy;Davolio;2004-11-10;10733;1459
Niemcy;Fuller;2004-11-12;10734;1498,35
Polska;Sowiński;2004-11-21;10735;536,4
Polska;Dudek;2004-11-21;10736;997
Niemcy;Fuller;2004-11-18;10737;139,8
Niemcy;Fuller;2004-11-18;10738;52,35
Niemcy;Leverling;2004-11-17;10739;240
Niemcy;Peacock;2004-11-25;10740;1416
Niemcy;Peacock;2004-11-18;10741;228
Niemcy;Leverling;2004-11-18;10742;3118
Niemcy;Davolio;2004-11-21;10743;319,2
Polska;Sowiński;2004-11-24;10744;736
Polska;Dudek;2004-11-27;10745;4529,8
Niemcy;Davolio;2004-11-21;10746;2311,7
Polska;Sowiński;2004-11-26;10747;1912,85
Niemcy;Leverling;2004-11-28;10748;2196
Niemcy;Peacock;2004-12-19;10749;1080
Polska;Dudek;2004-11-24;10750;1590,56
Niemcy;Leverling;2004-12-03;10751;1631,48
Niemcy;Fuller;2004-11-28;10752;252
Niemcy;Leverling;2004-11-27;10753;88
Polska;Sowiński;2004-11-27;10754;55,2
Niemcy;Peacock;2004-11-28;10755;1948,5
Niemcy;Callahan;2004-12-02;10756;1990
Polska;Sowiński;2004-12-15;10757;3082
Niemcy;Leverling;2004-12-04;10758;1644,6
Niemcy;Leverling;2004-12-12;10759;320
Niemcy;Peacock;2004-12-10;10760;2917
Polska;Kowalski;2004-12-08;10761;507
Niemcy;Leverling;2004-12-09;10762;4337
Niemcy;Leverling;2004-12-08;10763;616
Polska;Sowiński;2004-12-08;10764;2286
Niemcy;Leverling;2004-12-09;10765;1515,6
Niemcy;Peacock;2004-12-09;10766;2310
Niemcy;Peacock;2004-12-15;10767;28
Niemcy;Leverling;2004-12-15;10768;1477
Niemcy;Leverling;2004-12-12;10769;1684,27
Niemcy;Callahan;2004-12-17;10770;236,25
Polska;Dudek;2004-01-02;10771;344
Niemcy;Leverling;2004-12-19;10772;3603,22
Niemcy;Davolio;2004-12-16;10773;2030,4
Niemcy;Peacock;2004-12-12;10774;868,75
Polska;King;2004-12-26;10775;228
Niemcy;Davolio;2004-12-18;10776;6635,27
Polska;King;2005-01-21;10777;224
Niemcy;Leverling;2004-12-24;10778;96,5
Niemcy;Leverling;2005-01-14;10779;1335
Niemcy;Fuller;2004-12-25;10780;720
Niemcy;Fuller;2004-12-19;10781;975,88
Polska;Dudek;2004-12-22;10782;12,5
Niemcy;Peacock;2004-12-19;10783;1442,5
Niemcy;Peacock;2004-12-22;10784;1488
Niemcy;Davolio;2004-12-24;10785;387,5
Niemcy;Callahan;2004-12-23;10786;1531,08
Niemcy;Fuller;2004-12-26;10787;2622,76
Niemcy;Davolio;2005-01-19;10788;731,5
Niemcy;Davolio;2004-12-31;10789;3687
Polska;Sowiński;2004-12-26;10790;722,5
Polska;Sowiński;2005-01-01;10791;1829,76
Niemcy;Davolio;2004-12-31;10792;399,85
Niemcy;Leverling;2005-01-08;10793;191,1
Polska;Sowiński;2005-01-02;10794;314,76
Niemcy;Callahan;2005-01-20;10795;2158
Niemcy;Leverling;2005-01-14;10796;2341,36
Polska;King;2005-01-05;10797;420
Niemcy;Fuller;2005-01-05;10798;446,6
Polska;Dudek;2005-01-05;10799;1553,5
Niemcy;Davolio;2005-01-05;10800;1468,93
Niemcy;Peacock;2004-12-31;10801;3026,85
Niemcy;Peacock;2005-01-02;10802;2942,81
Niemcy;Peacock;2005-01-06;10803;1193,01
Polska;Sowiński;2005-01-07;10804;2278,4
Niemcy;Fuller;2005-01-09;10805;2775
Niemcy;Leverling;2005-01-05;10806;439,6
Niemcy;Peacock;2005-01-30;10807;18,4
Niemcy;Fuller;2005-01-09;10808;1411
Polska;King;2005-01-07;10809;140
Niemcy;Fuller;2005-01-07;10810;187
Niemcy;Callahan;2005-01-08;10811;852
Polska;Kowalski;2005-01-12;10812;1692,8
Niemcy;Davolio;2005-01-09;10813;602,4
Niemcy;Leverling;2005-01-14;10814;1788,45
Niemcy;Fuller;2005-01-14;10815;40
Niemcy;Peacock;2005-02-04;10816;8446,45
Niemcy;Leverling;2005-01-13;10817;10952,84
Polska;King;2005-01-12;10818;833
Niemcy;Fuller;2005-01-16;10819;477
Niemcy;Leverling;2005-01-13;10820;1140
Niemcy;Davolio;2005-01-15;10821;678
Polska;Sowiński;2005-01-16;10822;237,9
Polska;Kowalski;2005-01-13;10823;2826
